pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text
2026-04-23 15:13:05.621,STATUS,21921,,,,,,FRAME_ERROR
2026-04-23 15:13:05.623,STATUS,21926,,,,,,FRAME_ERROR
2026-04-23 15:13:05.639,STATUS,21944,,,,,,FRAME_ERROR
2026-04-23 15:13:05.653,STATUS,21962,,,,,,FRAME_ERROR
2026-04-23 15:13:05.671,STATUS,21981,,,,,,FRAME_ERROR
2026-04-23 15:13:05.687,STATUS,21994,,,,,,FRAME_ERROR
2026-04-23 15:13:05.687,STATUS,21996,,,,,,FRAME_ERROR
2026-04-23 15:13:05.710,STATUS,22019,,,,,,FRAME_ERROR
2026-04-23 15:13:05.727,STATUS,22037,,,,,,FRAME_ERROR
2026-04-23 15:13:05.749,STATUS,22055,,,,,,FRAME_ERROR
2026-04-23 15:13:05.761,STATUS,22070,,,,,,FRAME_ERROR
2026-04-23 15:13:05.766,STATUS,22074,,,,,,FRAME_ERROR
2026-04-23 15:13:05.782,STATUS,22091,,,,,,FRAME_ERROR
2026-04-23 15:13:05.801,STATUS,22110,,,,,,FRAME_ERROR
2026-04-23 15:13:05.823,STATUS,22132,,,,,,FRAME_ERROR
2026-04-23 15:13:05.839,STATUS,22147,,,,,,FRAME_ERROR
2026-04-23 15:13:05.842,STATUS,22151,,,,,,FRAME_ERROR
2026-04-23 15:13:05.860,STATUS,22170,,,,,,FRAME_ERROR
2026-04-23 15:13:05.894,STATUS,22188,,,,,,FRAME_ERROR
2026-04-23 15:13:05.902,STATUS,22211,,,,,,FRAME_ERROR
2026-04-23 15:13:05.918,STATUS,22227,,,,,,FRAME_ERROR
2026-04-23 15:13:05.922,STATUS,22231,,,,,,FRAME_ERROR
2026-04-23 15:13:05.941,STATUS,22250,,,,,,FRAME_ERROR
2026-04-23 15:13:05.964,STATUS,22267,,,,,,FRAME_ERROR
2026-04-23 15:13:05.979,STATUS,22288,,,,,,FRAME_ERROR
2026-04-23 15:13:05.994,STATUS,22303,,,,,,FRAME_ERROR
2026-04-23 15:13:05.997,STATUS,22307,,,,,,FRAME_ERROR
2026-04-23 15:13:06.016,STATUS,22325,,,,,,FRAME_ERROR
2026-04-23 15:13:06.031,STATUS,22340,,,,,,FRAME_ERROR
2026-04-23 15:13:06.053,STATUS,22360,,,,,,FRAME_ERROR
2026-04-23 15:13:06.072,STATUS,22381,,,,,,FRAME_ERROR
2026-04-23 15:13:06.075,STATUS,22384,,,,,,FRAME_ERROR
2026-04-23 15:13:06.093,STATUS,22402,,,,,,FRAME_ERROR
2026-04-23 15:13:06.111,STATUS,22421,,,,,,FRAME_ERROR
2026-04-23 15:13:06.132,STATUS,22440,,,,,,FRAME_ERROR
2026-04-23 15:13:06.143,STATUS,22452,,,,,,FRAME_ERROR
2026-04-23 15:13:06.148,STATUS,22456,,,,,,FRAME_ERROR
2026-04-23 15:13:06.168,STATUS,22477,,,,,,FRAME_ERROR
2026-04-23 15:13:06.188,STATUS,22495,,,,,,FRAME_ERROR
2026-04-23 15:13:06.207,STATUS,22517,,,,,,FRAME_ERROR
2026-04-23 15:13:06.222,STATUS,22532,,,,,,FRAME_ERROR
2026-04-23 15:13:06.227,STATUS,22536,,,,,,FRAME_ERROR
2026-04-23 15:13:06.245,STATUS,22555,,,,,,FRAME_ERROR
2026-04-23 15:13:06.264,STATUS,22574,,,,,,FRAME_ERROR
2026-04-23 15:13:06.284,STATUS,22591,,,,,,FRAME_ERROR
2026-04-23 15:13:06.302,STATUS,22609,,,,,,FRAME_ERROR
2026-04-23 15:13:06.303,STATUS,22613,,,,,,FRAME_ERROR
2026-04-23 15:13:06.322,STATUS,22630,,,,,,FRAME_ERROR
2026-04-23 15:13:06.339,STATUS,22648,,,,,,FRAME_ERROR
2026-04-23 15:13:06.357,STATUS,22666,,,,,,FRAME_ERROR
2026-04-23 15:13:06.374,STATUS,22681,,,,,,FRAME_ERROR
2026-04-23 15:13:06.375,STATUS,22685,,,,,,FRAME_ERROR
2026-04-23 15:13:06.402,STATUS,22711,,,,,,FRAME_ERROR
