pc_time,packet_type,esp_millis,byte_hex,byte_dec,steer,throttle,brake,mode_id,fault_flag,status_text,raw_line
2026-04-23 16:01:56.412,RAWBYTE,11566,0b,11,,,,,,,"RAWBYTE,11566,0b,11"
2026-04-23 16:01:56.434,RAWBYTE,11587,01,1,,,,,,,"RAWBYTE,11587,01,1"
2026-04-23 16:01:56.453,RAWBYTE,11607,0b,11,,,,,,,"RAWBYTE,11607,0b,11"
2026-04-23 16:01:56.474,RAWBYTE,11628,2c,44,,,,,,,"RAWBYTE,11628,2c,44"
2026-04-23 16:01:56.496,RAWBYTE,11648,0a,10,,,,,,,"RAWBYTE,11648,0a,10"
2026-04-23 16:01:56.515,RAWBYTE,11669,02,2,,,,,,,"RAWBYTE,11669,02,2"
2026-04-23 16:01:56.536,RAWBYTE,11689,16,22,,,,,,,"RAWBYTE,11689,16,22"
2026-04-23 16:01:56.556,RAWBYTE,11710,21,33,,,,,,,"RAWBYTE,11710,21,33"
2026-04-23 16:01:56.576,RAWBYTE,11730,2c,44,,,,,,,"RAWBYTE,11730,2c,44"
2026-04-23 16:01:56.600,RAWBYTE,11751,01,1,,,,,,,"RAWBYTE,11751,01,1"
2026-04-23 16:01:56.616,RAWBYTE,11771,02,2,,,,,,,"RAWBYTE,11771,02,2"
2026-04-23 16:01:56.636,RAWBYTE,11792,01,1,,,,,,,"RAWBYTE,11792,01,1"
2026-04-23 16:01:56.662,RAWBYTE,11812,0b,11,,,,,,,"RAWBYTE,11812,0b,11"
2026-04-23 16:01:56.678,RAWBYTE,11833,2c,44,,,,,,,"RAWBYTE,11833,2c,44"
2026-04-23 16:01:56.699,RAWBYTE,11853,21,33,,,,,,,"RAWBYTE,11853,21,33"
2026-04-23 16:01:56.718,RAWBYTE,11873,02,2,,,,,,,"RAWBYTE,11873,02,2"
2026-04-23 16:01:56.738,RAWBYTE,11894,16,22,,,,,,,"RAWBYTE,11894,16,22"
2026-04-23 16:01:56.759,RAWBYTE,11914,0a,10,,,,,,,"RAWBYTE,11914,0a,10"
2026-04-23 16:01:56.780,RAWBYTE,11935,0b,11,,,,,,,"RAWBYTE,11935,0b,11"
2026-04-23 16:01:56.801,RAWBYTE,11955,16,22,,,,,,,"RAWBYTE,11955,16,22"
2026-04-23 16:01:56.821,RAWBYTE,11976,0a,10,,,,,,,"RAWBYTE,11976,0a,10"
2026-04-23 16:01:56.843,RAWBYTE,11996,0b,11,,,,,,,"RAWBYTE,11996,0b,11"
2026-04-23 16:01:56.862,RAWBYTE,12017,16,22,,,,,,,"RAWBYTE,12017,16,22"
2026-04-23 16:01:56.883,RAWBYTE,12038,21,33,,,,,,,"RAWBYTE,12038,21,33"
2026-04-23 16:01:56.906,RAWBYTE,12058,02,2,,,,,,,"RAWBYTE,12058,02,2"
2026-04-23 16:01:56.924,RAWBYTE,12079,16,22,,,,,,,"RAWBYTE,12079,16,22"
2026-04-23 16:01:56.946,RAWBYTE,12099,21,33,,,,,,,"RAWBYTE,12099,21,33"
2026-04-23 16:01:56.965,RAWBYTE,12119,0b,11,,,,,,,"RAWBYTE,12119,0b,11"
2026-04-23 16:01:56.986,RAWBYTE,12140,2c,44,,,,,,,"RAWBYTE,12140,2c,44"
2026-04-23 16:01:57.008,RAWBYTE,12160,01,1,,,,,,,"RAWBYTE,12160,01,1"
2026-04-23 16:01:57.027,RAWBYTE,12181,21,33,,,,,,,"RAWBYTE,12181,21,33"
2026-04-23 16:01:57.048,RAWBYTE,12201,02,2,,,,,,,"RAWBYTE,12201,02,2"
2026-04-23 16:01:57.068,RAWBYTE,12222,01,1,,,,,,,"RAWBYTE,12222,01,1"
2026-04-23 16:01:57.088,RAWBYTE,12242,21,33,,,,,,,"RAWBYTE,12242,21,33"
2026-04-23 16:01:57.111,RAWBYTE,12263,2c,44,,,,,,,"RAWBYTE,12263,2c,44"
2026-04-23 16:01:57.128,RAWBYTE,12283,0a,10,,,,,,,"RAWBYTE,12283,0a,10"
2026-04-23 16:01:57.150,RAWBYTE,12303,0b,11,,,,,,,"RAWBYTE,12303,0b,11"
2026-04-23 16:01:57.170,RAWBYTE,12324,16,22,,,,,,,"RAWBYTE,12324,16,22"
2026-04-23 16:01:57.190,RAWBYTE,12345,21,33,,,,,,,"RAWBYTE,12345,21,33"
2026-04-23 16:01:57.237,RAWBYTE,12365,02,2,,,,,,,"RAWBYTE,12365,02,2"
2026-04-23 16:01:57.238,RAWBYTE,12385,16,22,,,,,,,"RAWBYTE,12385,16,22"
2026-04-23 16:01:57.253,RAWBYTE,12406,21,33,,,,,,,"RAWBYTE,12406,21,33"
2026-04-23 16:01:57.272,RAWBYTE,12426,16,22,,,,,,,"RAWBYTE,12426,16,22"
2026-04-23 16:01:57.295,RAWBYTE,12447,0a,10,,,,,,,"RAWBYTE,12447,0a,10"
2026-04-23 16:01:57.315,RAWBYTE,12467,02,2,,,,,,,"RAWBYTE,12467,02,2"
2026-04-23 16:01:57.334,RAWBYTE,12488,16,22,,,,,,,"RAWBYTE,12488,16,22"
2026-04-23 16:01:57.355,RAWBYTE,12508,0a,10,,,,,,,"RAWBYTE,12508,0a,10"
2026-04-23 16:01:57.375,RAWBYTE,12529,02,2,,,,,,,"RAWBYTE,12529,02,2"
2026-04-23 16:01:57.395,RAWBYTE,12549,01,1,,,,,,,"RAWBYTE,12549,01,1"
2026-04-23 16:01:57.416,RAWBYTE,12570,0b,11,,,,,,,"RAWBYTE,12570,0b,11"
2026-04-23 16:01:57.441,RAWBYTE,12590,16,22,,,,,,,"RAWBYTE,12590,16,22"
2026-04-23 16:01:57.458,RAWBYTE,12611,0a,10,,,,,,,"RAWBYTE,12611,0a,10"
2026-04-23 16:01:57.491,RAWBYTE,12631,2c,44,,,,,,,"RAWBYTE,12631,2c,44"
2026-04-23 16:01:57.507,RAWBYTE,12652,01,1,,,,,,,"RAWBYTE,12652,01,1"
2026-04-23 16:01:57.517,RAWBYTE,12672,21,33,,,,,,,"RAWBYTE,12672,21,33"
2026-04-23 16:01:57.538,RAWBYTE,12692,02,2,,,,,,,"RAWBYTE,12692,02,2"
2026-04-23 16:01:57.560,RAWBYTE,12713,0a,10,,,,,,,"RAWBYTE,12713,0a,10"
2026-04-23 16:01:57.579,RAWBYTE,12733,2c,44,,,,,,,"RAWBYTE,12733,2c,44"
2026-04-23 16:01:57.600,RAWBYTE,12754,0a,10,,,,,,,"RAWBYTE,12754,0a,10"
2026-04-23 16:01:57.622,RAWBYTE,12775,0b,11,,,,,,,"RAWBYTE,12775,0b,11"
2026-04-23 16:01:57.640,RAWBYTE,12795,16,22,,,,,,,"RAWBYTE,12795,16,22"
2026-04-23 16:01:57.662,RAWBYTE,12815,0a,10,,,,,,,"RAWBYTE,12815,0a,10"
2026-04-23 16:01:57.686,RAWBYTE,12836,02,2,,,,,,,"RAWBYTE,12836,02,2"
2026-04-23 16:01:57.703,RAWBYTE,12857,01,1,,,,,,,"RAWBYTE,12857,01,1"
2026-04-23 16:01:57.736,RAWBYTE,12877,0b,11,,,,,,,"RAWBYTE,12877,0b,11"
2026-04-23 16:01:57.743,RAWBYTE,12897,16,22,,,,,,,"RAWBYTE,12897,16,22"
2026-04-23 16:01:57.765,RAWBYTE,12918,0a,10,,,,,,,"RAWBYTE,12918,0a,10"
