timestamp_s,session_id,scenario_id,phase,steer_in_deg,throttle_in,brake_in,speed_mps,yaw_rad,yaw_rate_rps,mode_id,fault_flag,rtt_s,jitter_s,steer_ref_deg,throttle_ref,brake_ref,speed_ref_mps,tol_steer_deg,tol_throttle,tol_brake,tol_speed_mps,e_steer_deg,e_throttle,e_brake,e_speed_mps,speed_min_mps,speed_max_mps,speed_in_corridor,e_speed_low,e_speed_high
123.895,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
123.959,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.022,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.086,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.149,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.213,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.276,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.338,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.403,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.466,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.528,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.592,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
124.656,S20260416_135803,SC01,end,0.0,0.0,0.0,22.846757888793945,-0.6981316804885864,-5.651722123180402e-17,2,0,0.003351708292029798,0.019414017122471705,0.0,0.0,0.0,8.0,2.0,0.05,0.05,0.5,0.0,0.0,0.0,14.846757888793945,0.0,5.0,0,22.84676,-17.84676
